"","team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y","name","minute"
"1974","Golden State Warriors","2/8/17",2016,1,8,21,"missed shot","Jump Shot","3PT Field Goal",25,"Chicago Bulls",-110,232,"Stephen Curry",0
"1975","Golden State Warriors","2/8/17",2016,3,9,36,"missed shot","Jump Shot","3PT Field Goal",25,"Chicago Bulls",-9,252,"Stephen Curry",0
"1976","Golden State Warriors","2/8/17",2016,1,6,57,"missed shot","Jump Shot","2PT Field Goal",7,"Chicago Bulls",-69,19,"Stephen Curry",0
"1977","Golden State Warriors","1/20/17",2016,1,1,58,"missed shot","Jump Shot","3PT Field Goal",25,"Houston Rockets",-187,178,"Stephen Curry",0
"1978","Golden State Warriors","3/6/17",2016,3,9,39,"made shot","Jump Shot","3PT Field Goal",25,"Atlanta Hawks",-219,134,"Stephen Curry",27
"1979","Golden State Warriors","1/2/17",2016,3,2,10,"missed shot","Jump Shot","3PT Field Goal",29,"Denver Nuggets",27,298,"Stephen Curry",0
"1980","Golden State Warriors","1/2/17",2016,3,8,35,"missed shot","Jump Shot","2PT Field Goal",19,"Denver Nuggets",140,134,"Stephen Curry",0
"1981","Golden State Warriors","11/3/16",2016,1,6,3,"missed shot","Jump Shot","3PT Field Goal",25,"Oklahoma City Thunder",-227,126,"Stephen Curry",0
"1982","Golden State Warriors","11/3/16",2016,3,2,27,"missed shot","Jump Shot","3PT Field Goal",31,"Oklahoma City Thunder",-7,313,"Stephen Curry",0
"1983","Golden State Warriors","11/3/16",2016,2,6,48,"missed shot","Jump Shot","3PT Field Goal",25,"Oklahoma City Thunder",82,244,"Stephen Curry",0
"1984","Golden State Warriors","11/3/16",2016,1,8,34,"missed shot","Jump Shot","3PT Field Goal",25,"Oklahoma City Thunder",151,200,"Stephen Curry",0
"1985","Golden State Warriors","11/3/16",2016,1,4,16,"missed shot","Jump Shot","2PT Field Goal",3,"Oklahoma City Thunder",17,26,"Stephen Curry",0
"1986","Golden State Warriors","12/20/16",2016,3,0,3,"missed shot","Jump Shot","3PT Field Goal",26,"Utah Jazz",99,242,"Stephen Curry",0
"1987","Golden State Warriors","12/20/16",2016,1,8,13,"missed shot","Jump Shot","2PT Field Goal",19,"Utah Jazz",127,149,"Stephen Curry",0
"1988","Golden State Warriors","12/20/16",2016,1,7,45,"missed shot","Jump Shot","3PT Field Goal",23,"Utah Jazz",230,2,"Stephen Curry",0
"1989","Golden State Warriors","12/20/16",2016,1,2,51,"missed shot","Jump Shot","3PT Field Goal",26,"Utah Jazz",-127,232,"Stephen Curry",0
"1990","Golden State Warriors","12/20/16",2016,1,0,38,"missed shot","Jump Shot","2PT Field Goal",18,"Utah Jazz",-63,178,"Stephen Curry",0
"1991","Golden State Warriors","12/20/16",2016,3,7,30,"missed shot","Jump Shot","3PT Field Goal",24,"Utah Jazz",-199,144,"Stephen Curry",0
"1992","Golden State Warriors","1/2/17",2016,2,3,6,"missed shot","Jump Shot","3PT Field Goal",27,"Denver Nuggets",-53,273,"Stephen Curry",0
"1993","Golden State Warriors","1/20/17",2016,3,5,58,"made shot","Jump Shot","3PT Field Goal",24,"Houston Rockets",132,203,"Stephen Curry",31
"1994","Golden State Warriors","11/16/16",2016,2,4,39,"made shot","Jump Shot","3PT Field Goal",24,"Toronto Raptors",192,156,"Stephen Curry",20
"1995","Golden State Warriors","11/16/16",2016,3,1,4,"made shot","Jump Shot","3PT Field Goal",26,"Toronto Raptors",168,205,"Stephen Curry",35
"1996","Golden State Warriors","11/16/16",2016,1,10,29,"missed shot","Jump Shot","3PT Field Goal",25,"Toronto Raptors",207,151,"Stephen Curry",0
"1997","Golden State Warriors","11/16/16",2016,3,0,34,"made shot","Jump Shot","3PT Field Goal",25,"Toronto Raptors",143,208,"Stephen Curry",36
"1998","Golden State Warriors","11/16/16",2016,3,3,12,"missed shot","Jump Shot","3PT Field Goal",26,"Toronto Raptors",-147,219,"Stephen Curry",0
"1999","Golden State Warriors","11/16/16",2016,4,5,49,"missed shot","Jump Shot","2PT Field Goal",17,"Toronto Raptors",155,82,"Stephen Curry",0
"2000","Golden State Warriors","11/16/16",2016,2,1,45,"missed shot","Jump Shot","3PT Field Goal",25,"Toronto Raptors",150,203,"Stephen Curry",0
"2001","Golden State Warriors","11/21/16",2016,2,0,10,"made shot","Jump Shot","3PT Field Goal",25,"Indiana Pacers",215,139,"Stephen Curry",24
"2002","Golden State Warriors","11/21/16",2016,1,11,11,"missed shot","Jump Shot","2PT Field Goal",19,"Indiana Pacers",-4,198,"Stephen Curry",0
"2003","Golden State Warriors","11/21/16",2016,3,5,55,"made shot","Jump Shot","2PT Field Goal",21,"Indiana Pacers",-99,190,"Stephen Curry",31
"2004","Golden State Warriors","11/21/16",2016,3,3,2,"missed shot","Jump Shot","3PT Field Goal",26,"Indiana Pacers",-6,262,"Stephen Curry",0
"2005","Golden State Warriors","11/21/16",2016,2,5,32,"missed shot","Jump Shot","3PT Field Goal",24,"Indiana Pacers",209,134,"Stephen Curry",0
"2006","Golden State Warriors","1/2/17",2016,3,5,25,"missed shot","Jump Shot","3PT Field Goal",26,"Denver Nuggets",-9,264,"Stephen Curry",0
"2007","Golden State Warriors","1/20/17",2016,4,3,20,"made shot","Jump Shot","3PT Field Goal",23,"Houston Rockets",-233,36,"Stephen Curry",45
"2008","Golden State Warriors","1/20/17",2016,3,0,1,"missed shot","Jump Shot","3PT Field Goal",24,"Houston Rockets",204,141,"Stephen Curry",0
"2009","Golden State Warriors","1/20/17",2016,3,9,22,"missed shot","Jump Shot","3PT Field Goal",26,"Houston Rockets",-176,203,"Stephen Curry",0
"2010","Golden State Warriors","1/20/17",2016,3,6,14,"made shot","Jump Shot","3PT Field Goal",28,"Houston Rockets",14,283,"Stephen Curry",30
"2011","Golden State Warriors","1/20/17",2016,3,1,25,"missed shot","Jump Shot","3PT Field Goal",27,"Houston Rockets",7,273,"Stephen Curry",0
"2012","Golden State Warriors","2/28/17",2016,3,9,9,"made shot","Jump Shot","2PT Field Goal",19,"Washington Wizards",-163,101,"Stephen Curry",27
"2013","Golden State Warriors","1/2/17",2016,4,0,29,"missed shot","Jump Shot","3PT Field Goal",24,"Denver Nuggets",236,56,"Stephen Curry",0
"2014","Golden State Warriors","1/2/17",2016,1,6,14,"made shot","Jump Shot","3PT Field Goal",25,"Denver Nuggets",-166,193,"Stephen Curry",6
"2015","Golden State Warriors","3/16/17",2016,2,8,19,"missed shot","Jump Shot","3PT Field Goal",26,"Orlando Magic",-173,203,"Stephen Curry",0
"2016","Golden State Warriors","1/28/17",2016,1,1,5,"made shot","Jump Shot","3PT Field Goal",23,"Los Angeles Clippers",-237,13,"Stephen Curry",11
"2017","Golden State Warriors","1/28/17",2016,3,1,28,"made shot","Jump Shot","3PT Field Goal",29,"Los Angeles Clippers",143,257,"Stephen Curry",35
"2018","Golden State Warriors","1/28/17",2016,3,1,5,"missed shot","Jump Shot","3PT Field Goal",23,"Los Angeles Clippers",230,38,"Stephen Curry",0
